id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year
65.0,33.0,Manchester United,46.0,Leicester,1-0,2-1,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018
66.0,34.0,Newcastle,47.0,Tottenham,1-2,1-2,-1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
67.0,35.0,Bournemouth,43.0,Cardiff,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
68.0,36.0,Fulham,52.0,Crystal Palace,0-1,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2018
69.0,37.0,Huddersfield,49.0,Chelsea,0-2,0-3,-2.0,-1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
70.0,38.0,Watford,51.0,Brighton,1-0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
71.0,39.0,Wolves,45.0,Everton,1-1,2-2,-1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2018
72.0,40.0,Liverpool,48.0,West Ham,2-0,4-0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2018
73.0,41.0,Southampton,44.0,Burnley,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
74.0,42.0,Arsenal,50.0,Manchester City,0-1,0-2,-2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
75.0,43.0,Cardiff,34.0,Newcastle,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
77.0,45.0,Everton,41.0,Southampton,2-0,2-1,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
78.0,46.0,Leicester,39.0,Wolves,2-0,2-0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
79.0,47.0,Tottenham,36.0,Fulham,1-0,3-1,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2018
80.0,48.0,West Ham,35.0,Bournemouth,1-0,1-2,-1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2018
81.0,49.0,Chelsea,42.0,Arsenal,2-2,3-2,0.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2018
76.0,44.0,Burnley,38.0,Watford,1-1,1-3,-2.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2018
82.0,50.0,Manchester City,37.0,Huddersfield,3-1,6-1,4.0,1.0,5.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2018
83.0,51.0,Brighton,33.0,Manchester United,3-1,3-2,2.0,-1.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
84.0,52.0,Crystal Palace,40.0,Liverpool,0-1,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
85.0,39.0,Wolves,50.0,Manchester City,0-0,1-1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2018
86.0,42.0,Arsenal,48.0,West Ham,1-1,3-1,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2018
