id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT
65.0,33.0,Manchester United,46.0,Leicester,1-0,2-1
66.0,34.0,Newcastle,47.0,Tottenham,1-2,1-2
67.0,35.0,Bournemouth,43.0,Cardiff,1-0,2-0
68.0,36.0,Fulham,52.0,Crystal Palace,0-1,0-2
69.0,37.0,Huddersfield,49.0,Chelsea,0-2,0-3
70.0,38.0,Watford,51.0,Brighton,1-0,2-0
71.0,39.0,Wolves,45.0,Everton,1-1,2-2
72.0,40.0,Liverpool,48.0,West Ham,2-0,4-0
73.0,41.0,Southampton,44.0,Burnley,0-0,0-0
74.0,42.0,Arsenal,50.0,Manchester City,0-1,0-2
75.0,43.0,Cardiff,34.0,Newcastle,0-0,0-0
77.0,45.0,Everton,41.0,Southampton,2-0,2-1
78.0,46.0,Leicester,39.0,Wolves,2-0,2-0
79.0,47.0,Tottenham,36.0,Fulham,1-0,3-1
80.0,48.0,West Ham,35.0,Bournemouth,1-0,1-2
81.0,49.0,Chelsea,42.0,Arsenal,2-2,3-2
76.0,44.0,Burnley,38.0,Watford,1-1,1-3
82.0,50.0,Manchester City,37.0,Huddersfield,3-1,6-1
83.0,51.0,Brighton,33.0,Manchester United,3-1,3-2
84.0,52.0,Crystal Palace,40.0,Liverpool,0-1,0-2
85.0,39.0,Wolves,50.0,Manchester City,0-0,1-1
86.0,42.0,Arsenal,48.0,West Ham,1-1,3-1
87.0,35.0,Bournemouth,45.0,Everton,0-0,2-2
89.0,37.0,Huddersfield,43.0,Cardiff,0-0,0-0
90.0,41.0,Southampton,46.0,Leicester,0-0,1-2
91.0,40.0,Liverpool,51.0,Brighton,1-0,1-0
92.0,38.0,Watford,52.0,Crystal Palace,0-0,2-1
88.0,36.0,Fulham,44.0,Burnley,3-2,4-2
93.0,34.0,Newcastle,49.0,Chelsea,0-0,1-2
94.0,33.0,Manchester United,47.0,Tottenham,0-0,0-3
95.0,46.0,Leicester,40.0,Liverpool,0-2,1-2
96.0,51.0,Brighton,36.0,Fulham,0-1,2-2
98.0,49.0,Chelsea,35.0,Bournemouth,0-0,2-0
99.0,52.0,Crystal Palace,41.0,Southampton,0-0,0-2
100.0,45.0,Everton,37.0,Huddersfield,1-1,1-1
101.0,48.0,West Ham,39.0,Wolves,0-0,0-1
102.0,50.0,Manchester City,34.0,Newcastle,1-1,2-1
103.0,43.0,Cardiff,42.0,Arsenal,1-1,2-3
97.0,44.0,Burnley,33.0,Manchester United,0-2,0-2
104.0,38.0,Watford,47.0,Tottenham,0-0,2-1
105.0,47.0,Tottenham,40.0,Liverpool,0-1,1-2
106.0,35.0,Bournemouth,46.0,Leicester,3-0,4-2
107.0,49.0,Chelsea,43.0,Cardiff,2-1,4-1
108.0,37.0,Huddersfield,52.0,Crystal Palace,0-1,0-1
109.0,50.0,Manchester City,36.0,Fulham,2-0,3-0
110.0,34.0,Newcastle,42.0,Arsenal,0-0,1-2
111.0,38.0,Watford,33.0,Manchester United,0-2,1-2
112.0,39.0,Wolves,44.0,Burnley,0-0,1-0
113.0,45.0,Everton,48.0,West Ham,1-2,1-3
114.0,41.0,Southampton,51.0,Brighton,1-0,2-2
115.0,36.0,Fulham,38.0,Watford,0-1,1-1
116.0,44.0,Burnley,35.0,Bournemouth,2-0,4-0
117.0,43.0,Cardiff,50.0,Manchester City,0-3,0-5
118.0,52.0,Crystal Palace,34.0,Newcastle,0-0,0-0
119.0,46.0,Leicester,37.0,Huddersfield,1-1,3-1
120.0,40.0,Liverpool,41.0,Southampton,3-0,3-0
121.0,33.0,Manchester United,39.0,Wolves,1-0,1-1
122.0,51.0,Brighton,47.0,Tottenham,0-1,1-2
123.0,48.0,West Ham,49.0,Chelsea,0-0,0-0
124.0,42.0,Arsenal,45.0,Everton,0-0,2-0
125.0,48.0,West Ham,33.0,Manchester United,2-0,3-1
126.0,42.0,Arsenal,38.0,Watford,0-0,2-0
127.0,45.0,Everton,36.0,Fulham,0-0,3-0
128.0,37.0,Huddersfield,47.0,Tottenham,0-2,0-2
129.0,50.0,Manchester City,51.0,Brighton,1-0,2-0
130.0,34.0,Newcastle,46.0,Leicester,0-1,0-2
131.0,39.0,Wolves,41.0,Southampton,0-0,2-0
132.0,49.0,Chelsea,40.0,Liverpool,1-0,1-1
133.0,43.0,Cardiff,44.0,Burnley,0-0,1-2
134.0,35.0,Bournemouth,52.0,Crystal Palace,1-0,2-1
135.0,51.0,Brighton,48.0,West Ham,1-0,1-0
136.0,44.0,Burnley,37.0,Huddersfield,1-0,1-1
137.0,52.0,Crystal Palace,39.0,Wolves,0-0,0-1
139.0,46.0,Leicester,45.0,Everton,1-1,1-2
143.0,47.0,Tottenham,43.0,Cardiff,1-0,1-0
144.0,38.0,Watford,35.0,Bournemouth,0-3,0-4
141.0,33.0,Manchester United,34.0,Newcastle,0-2,3-2
138.0,36.0,Fulham,42.0,Arsenal,1-1,1-5
142.0,41.0,Southampton,49.0,Chelsea,0-1,0-3
140.0,40.0,Liverpool,50.0,Manchester City,0-0,0-0
148.0,49.0,Chelsea,33.0,Manchester United,1-0,2-2
146.0,35.0,Bournemouth,41.0,Southampton,0-0,0-0
147.0,43.0,Cardiff,36.0,Fulham,2-2,4-2
151.0,50.0,Manchester City,44.0,Burnley,1-0,5-0
152.0,34.0,Newcastle,51.0,Brighton,0-1,0-1
153.0,48.0,West Ham,47.0,Tottenham,0-1,0-1
154.0,39.0,Wolves,38.0,Watford,0-2,0-2
150.0,37.0,Huddersfield,40.0,Liverpool,0-1,0-1
149.0,45.0,Everton,52.0,Crystal Palace,0-0,2-0
145.0,42.0,Arsenal,46.0,Leicester,1-1,3-1
155.0,51.0,Brighton,39.0,Wolves,0-0,1-0
