id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HW,D,AW,>2.5,<2.5,match_dif,comeback,dif_class,prob_HW,prob_D,prob_AW,prob_25more,prob_25less
65.0,33.0,Manchester United,46.0,Leicester,1-0,2-1,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,Manchester United,Leicester,2,1,H,1,0,1.57,3.9,7.5,2.03,1.79,1.0,0.0,1.0,0.6203868668872486,0.24974548231102064,0.1298676508017307,0.46858638743455505,0.5314136125654451
66.0,34.0,Newcastle,47.0,Tottenham,1-2,1-2,-1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Newcastle,Tottenham,1,2,A,1,2,3.9,3.5,2.04,2.01,1.81,-1.0,0.0,-1.0,0.24838238363598414,0.27676894176581085,0.4748486745982049,0.47382198952879584,0.5261780104712042
67.0,35.0,Bournemouth,43.0,Cardiff,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,Bournemouth,Cardiff,2,0,H,1,0,1.9,3.6,4.5,1.98,1.83,2.0,0.0,1.0,0.5128205128205129,0.27065527065527073,0.21652421652421655,0.48031496062992135,0.5196850393700787
68.0,36.0,Fulham,52.0,Crystal Palace,0-1,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2018,Fulham,Crystal Palace,0,2,A,0,1,2.5,3.4,3.0,1.95,1.87,-2.0,0.0,-1.0,0.3893129770992367,0.28625954198473286,0.3244274809160305,0.4895287958115184,0.5104712041884817
69.0,37.0,Huddersfield,49.0,Chelsea,0-2,0-3,-2.0,-1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,Huddersfield,Chelsea,0,3,A,0,2,6.5,4.0,1.61,1.98,1.84,-3.0,0.0,-2.0,0.15009905605407298,0.24391096608786855,0.6059899778580585,0.48167539267015713,0.518324607329843
70.0,38.0,Watford,51.0,Brighton,1-0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018,Watford,Brighton,2,0,H,1,0,2.37,3.2,3.4,2.35,1.59,2.0,0.0,2.0,0.4102254731920669,0.30382324108287456,0.28595128572505846,0.4035532994923858,0.5964467005076142
71.0,39.0,Wolves,45.0,Everton,1-1,2-2,-1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2018,Wolves,Everton,2,2,D,1,1,2.37,3.3,3.3,2.09,1.75,0.0,1.0,-1.0,0.41044776119402987,0.29477611940298515,0.29477611940298515,0.4557291666666667,0.5442708333333333
72.0,40.0,Liverpool,48.0,West Ham,2-0,4-0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2018,Liverpool,West Ham,4,0,H,2,0,1.25,6.5,14.0,1.44,2.72,4.0,0.0,2.0,0.780278670953912,0.15005359056806,0.06966773847802786,0.6538461538461539,0.34615384615384615
73.0,41.0,Southampton,44.0,Burnley,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Southampton,Burnley,0,0,D,0,0,1.85,3.5,5.0,2.34,1.6,0.0,0.0,0.0,0.526711813393529,0.27840481565086533,0.19488337095560576,0.40609137055837563,0.5939086294416244
74.0,42.0,Arsenal,50.0,Manchester City,0-1,0-2,-2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,Arsenal,Manchester City,0,2,A,0,1,4.0,3.8,1.95,1.55,2.42,-2.0,0.0,-2.0,0.24366984544557713,0.25649457415323906,0.4998355804011839,0.6095717884130982,0.3904282115869018
