index,id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HW,D,AW,>2.5,<2.5,match_dif,comeback,dif_class,prob_HW,prob_D,prob_AW,prob_25more,prob_25less,id_country,country
0,65.0,33.0,Manchester United,46.0,Leicester,1-0,2-1,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018,Manchester United,Leicester,2,1,H,1,0,1.57,3.9,7.5,2.03,1.79,1.0,0.0,1.0,0.6203868668872486,0.2497454823110206,0.1298676508017307,0.468586387434555,0.5314136125654451,0,en
1,66.0,34.0,Newcastle,47.0,Tottenham,1-2,1-2,-1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Newcastle,Tottenham,1,2,A,1,2,3.9,3.5,2.04,2.01,1.81,-1.0,0.0,-1.0,0.2483823836359841,0.2767689417658108,0.4748486745982049,0.4738219895287958,0.5261780104712042,0,en
2,67.0,35.0,Bournemouth,43.0,Cardiff,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018,Bournemouth,Cardiff,2,0,H,1,0,1.9,3.6,4.5,1.98,1.83,2.0,0.0,1.0,0.5128205128205129,0.2706552706552707,0.2165242165242165,0.4803149606299213,0.5196850393700787,0,en
3,68.0,36.0,Fulham,52.0,Crystal Palace,0-1,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2018,Fulham,Crystal Palace,0,2,A,0,1,2.5,3.4,3.0,1.95,1.87,-2.0,0.0,-1.0,0.3893129770992367,0.2862595419847328,0.3244274809160305,0.4895287958115184,0.5104712041884817,0,en
4,69.0,37.0,Huddersfield,49.0,Chelsea,0-2,0-3,-2.0,-1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,Huddersfield,Chelsea,0,3,A,0,2,6.5,4.0,1.61,1.98,1.84,-3.0,0.0,-2.0,0.1500990560540729,0.2439109660878685,0.6059899778580585,0.4816753926701571,0.518324607329843,0,en
5,70.0,38.0,Watford,51.0,Brighton,1-0,2-0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2018,Watford,Brighton,2,0,H,1,0,2.37,3.2,3.4,2.35,1.59,2.0,0.0,2.0,0.4102254731920669,0.3038232410828745,0.2859512857250584,0.4035532994923858,0.5964467005076142,0,en
6,71.0,39.0,Wolves,45.0,Everton,1-1,2-2,-1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2018,Wolves,Everton,2,2,D,1,1,2.37,3.3,3.3,2.09,1.75,0.0,1.0,-1.0,0.4104477611940298,0.2947761194029851,0.2947761194029851,0.4557291666666667,0.5442708333333333,0,en
7,72.0,40.0,Liverpool,48.0,West Ham,2-0,4-0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2018,Liverpool,West Ham,4,0,H,2,0,1.25,6.5,14.0,1.44,2.72,4.0,0.0,2.0,0.780278670953912,0.15005359056806,0.0696677384780278,0.6538461538461539,0.3461538461538461,0,en
8,73.0,41.0,Southampton,44.0,Burnley,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,Southampton,Burnley,0,0,D,0,0,1.85,3.5,5.0,2.34,1.6,0.0,0.0,0.0,0.526711813393529,0.2784048156508653,0.1948833709556057,0.4060913705583756,0.5939086294416244,0,en
9,74.0,42.0,Arsenal,50.0,Manchester City,0-1,0-2,-2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,Arsenal,Manchester City,0,2,A,0,1,4.0,3.8,1.95,1.55,2.42,-2.0,0.0,-2.0,0.2436698454455771,0.256494574153239,0.4998355804011839,0.6095717884130982,0.3904282115869018,0,en
